First Name,Last Name,Phone Number,Credit Card,Social Security Number,Email Address,Physical Address
Emily,Johnson,(415) 762-1043,4532-6410-8765-4321,601-23-4567,emily.johnson@example.com,221B Baker Street, San Francisco, CA, 94115
Michael,Smith,(303) 584-7391,3456-7890-1234-5678,789-45-6789,michael.smith@example.com,789 Oakwood Dr, Denver, CO, 80230
Olivia,Williams,(212) 345-6789,2345-6789-0123-4567,234-56-7890,olivia.williams@example.com,1507 Elm St, New York, NY, 10001
David,Lee,(312) 555-0192,5678-9012-3456-7890,345-67-8901,david.lee@example.com,303 Lakeview Ave, Chicago, IL, 60614
Sophia,Brown,(718) 555-2345,6789-0123-4567-8901,456-78-9012,sophia.brown@example.com,421 Maple St, Brooklyn, NY, 11201
James,Wilson,(214) 555-6789,7890-1234-5678-9012,567-89-0123,james.wilson@example.com,102 Pine Ln, Dallas, TX, 75201
Isabella,Miller,(408) 555-3456,8901-2345-6789-0123,678-90-1234,isabella.miller@example.com,987 Redwood St, San Jose, CA, 95112
Benjamin,Garcia,(503) 555-9876,9012-3456-7890-1234,789-01-2345,benjamin.garcia@example.com,555 Birchwood Ave, Portland, OR, 97205
Ava,Martinez,(512) 555-8765,0123-4567-8901-2345,890-12-3456,ava.martinez@example.com,1233 Willow Way, Austin, TX, 73301
William,Anderson,(619) 555-4321,1234-5678-9012-3456,901-23-4567,william.anderson@example.com,4563 Juniper Dr, San Diego, CA, 92101
